,time,code,open,high,low,close,volume,amount,open_interest
1,2020/1/2,dce.c0000,1911,1920,1910,1918,171359,3282180910,745137
2,2020/1/3,dce.c0000,1920,1925,1916,1918,213786,4104727770,750386
3,2020/1/6,dce.c0000,1918,1918,1910,1913,192497,3682523030,726670
4,2020/1/7,dce.c0000,1914,1927,1914,1926,316658,6087918640,759278
5,2020/1/8,dce.c0000,1925,1930,1917,1918,263566,5070914780,752277
6,2020/1/9,dce.c0000,1917,1923,1913,1921,236738,4540745900,745952
7,2020/1/10,dce.c0000,1916,1920,1906,1911,339786,6497626330,729045
8,2020/1/13,dce.c0000,1912,1919,1908,1918,231845,4436616820,727629
9,2020/1/14,dce.c0000,1918,1928,1917,1919,267652,5145872880,736336
10,2020/1/15,dce.c0000,1920,1927,1918,1924,175779,3381266270,747159
11,2020/1/16,dce.c0000,1925,1946,1923,1946,455532,8818913160,821648
12,2020/1/17,dce.c0000,1946,1949,1940,1947,233659,4542038700,822612
13,2020/1/20,dce.c0000,1949,1950,1936,1944,296335,5754687980,801496
14,2020/1/21,dce.c0000,1943,1944,1927,1928,266309,5154016090,747510
15,2020/1/22,dce.c0000,1928,1933,1909,1924,397782,7636454140,691572
16,2020/1/23,dce.c0000,1927,1927,1910,1912,244746,4690201350,652293
17,2020/2/3,dce.c0000,1920,1938,1912,1926,417028,8022990120,615781
18,2020/2/4,dce.c0000,1926,1948,1926,1944,496609,9620475440,620825
19,2020/2/5,dce.c0000,1928,1931,1912,1921,488028,9381707110,578006
20,2020/2/6,dce.c0000,1924,1935,1918,1934,346799,6678885020,594635
21,2020/2/7,dce.c0000,1934,1945,1931,1938,333246,6460530440,599895
22,2020/2/10,dce.c0000,1937,1940,1922,1926,305572,5898564700,582499
23,2020/2/11,dce.c0000,1924,1929,1920,1923,265358,5109007300,583845
24,2020/2/12,dce.c0000,1924,1931,1921,1923,216150,4162339640,586353
25,2020/2/13,dce.c0000,1924,1928,1921,1926,147053,2831723550,586741
26,2020/2/14,dce.c0000,1924,1927,1916,1919,271673,5215916300,580101
27,2020/2/17,dce.c0000,1919,1928,1915,1927,276751,5323589770,596425
28,2020/2/18,dce.c0000,1926,1926,1906,1907,370092,7087903080,585491
29,2020/2/19,dce.c0000,1905,1913,1900,1910,272527,5202200560,602931
30,2020/2/20,dce.c0000,1907,1912,1903,1905,194121,3703153590,611868
31,2020/2/21,dce.c0000,1904,1913,1901,1912,184719,3525542580,612412
32,2020/2/24,dce.c0000,1912,1917,1910,1913,210775,4033960280,593677
33,2020/2/25,dce.c0000,1913,1920,1909,1915,205596,3935179360,583010
34,2020/2/26,dce.c0000,1917,1918,1911,1913,108442,2075318990,586656
35,2020/2/27,dce.c0000,1914,1928,1913,1927,235906,4529428300,600975
36,2020/2/28,dce.c0000,1927,1933,1920,1922,389671,7502942530,574401
37,2020/3/2,dce.c0000,1927,1945,1927,1943,398068,7717634930,575044
38,2020/3/3,dce.c0000,1945,1950,1939,1941,277988,5401916690,556607
39,2020/3/4,dce.c0000,1942,1945,1936,1938,183093,3549937130,545478
40,2020/3/5,dce.c0000,1939,1945,1938,1943,139271,2705016220,554489
41,2020/3/6,dce.c0000,1941,1943,1933,1935,291177,5640794230,507824
42,2020/3/9,dce.c0000,1930,1938,1923,1933,263634,5090572830,484945
43,2020/3/10,dce.c0000,1933,1956,1931,1947,418114,8133351570,472822
44,2020/3/11,dce.c0000,2000,2023,1998,2020,532402,10709881830,616236
45,2020/3/12,dce.c0000,2018,2022,1992,2008,603587,12136812690,596137
46,2020/3/13,dce.c0000,2003,2015,1999,2010,359306,7214161760,605719
47,2020/3/16,dce.c0000,2006,2018,1997,1999,414472,8328619740,604072
48,2020/3/17,dce.c0000,1996,2001,1991,1995,311711,6220338700,554911
49,2020/3/18,dce.c0000,1994,2006,1985,1987,405333,8083730540,542611
50,2020/3/19,dce.c0000,1989,1992,1981,1985,340035,6753082950,512084
51,2020/3/20,dce.c0000,1989,2002,1989,2001,291008,5808560210,528549
52,2020/3/23,dce.c0000,2005,2021,2002,2017,500394,10081666850,600364
53,2020/3/24,dce.c0000,2017,2018,2005,2013,301978,6073719100,584361
54,2020/3/25,dce.c0000,2014,2029,2012,2026,456548,9225654110,659469
55,2020/3/26,dce.c0000,2024,2033,2018,2018,376209,7614241880,659097
56,2020/3/27,dce.c0000,2021,2035,2020,2034,357148,7248595230,724010
57,2020/3/30,dce.c0000,2044,2062,2041,2046,661156,13551583080,791246
58,2020/3/31,dce.c0000,2047,2051,2038,2048,332390,6796266560,777752
59,2020/4/1,dce.c0000,2048,2056,2032,2037,514412,10516809590,758451
60,2020/4/2,dce.c0000,2036,2049,2022,2031,561942,11439962290,747346
61,2020/4/3,dce.c0000,2035,2039,2028,2033,309144,6285955720,747278
62,2020/4/7,dce.c0000,2039,2039,2028,2030,285245,5797703420,754826
63,2020/4/8,dce.c0000,2032,2047,2027,2045,319063,6503417850,810646
64,2020/4/9,dce.c0000,2047,2051,2041,2043,279106,5707806830,816187
65,2020/4/10,dce.c0000,2043,2045,2036,2043,266019,5426997860,809692
66,2020/4/13,dce.c0000,2044,2050,2040,2044,292850,5991307560,811910
67,2020/4/14,dce.c0000,2044,2056,2043,2051,361080,7399898540,812917
